year,rating,num_reviews,body,acidity,price
2015,4.4,1326,4,3,105.12
2008,4.4,1269,2,3,52.5
2017,4.4,1266,5,3,33.31
2010,4.4,1255,4,3,73.65
2016,4.4,1226,5,3,33.95
2009,4.4,1172,4,3,74
2005,4.4,1166,5,3,169
2018,4.4,1158,5,3,24.8
2004,4.4,1121,5,3,140.8408663
2014,4.4,1104,4,3,175.5
2011,4.4,1098,4,3,37.57
2016,4.4,1087,5,3,26.24
2019,4.4,1069,5,3,28.5
2014,4.4,1064,4,2,178
2011,4.4,1048,5,3,78.65
2008,4.4,1047,5,3,125
2016,4.4,1039,4,3,35.9
2017,4.4,1040,5,3,35.7
2019,4.4,1018,5,3,33
2015,4.4,995,4,2,60.95
2019,4.4,966,4,3,21.95
,4.4,941,4,3,82.5
2014,4.4,927,5,3,109.9
2011,4.4,925,4,3,33.5
2018,4.4,915,5,3,38.95
2016,4.4,852,4,3,34.9
2014,4.4,827,4,3,37.8
,4.4,825,4,3,59.9
2016,4.4,812,5,3,38.7
2011,4.4,809,4,3,90
2010,4.4,799,4,3,69.79
2011,4.4,798,4,3,59.9
2019,4.4,787,5,3,27.39
2005,4.4,783,4,3,93
2016,4.4,778,5,3,73.57
2015,4.4,746,4,3,49.67
2014,4.4,726,4,2,91.57
2012,4.4,695,4,3,90
2015,4.4,683,4,3,69.95
2001,4.4,681,5,3,190
2005,4.4,667,4,3,140
2015,4.4,664,4,2,35.75
2016,4.4,639,4,3,52.5
2007,4.4,624,4,3,95
2016,4.4,618,5,3,45.15
2015,4.4,617,4,3,58.21422475
2016,4.4,609,4,3,42.7
2017,4.4,581,5,3,28.73153673
2017,4.4,575,4,3,32.65
2015,4.4,561,4,3,43.86
2017,4.4,560,4,3,36.9
2013,4.4,550,4,3,54.83
2016,4.4,550,4,3,55.33
2010,4.4,542,4,3,26.9
,4.4,527,,,57.9
2008,4.4,527,,,74
2019,4.4,523,,,34.35
2009,4.4,516,,,76.3
2017,4.4,514,,,45.3
1995,4.4,512,,,299
2016,4.4,506,,,56.5
2014,4.4,499,,,54.9
2017,4.4,498,,,55.31
2016,4.4,495,,,53.91
2015,4.4,485,,,35.1
2017,4.4,481,,,38.5
2015,4.4,471,,,49.97
2016,4.4,450,,,32.9
2006,4.4,443,,,34
2006,4.4,442,,,90.5
2018,4.4,436,,,38.3
2014,4.4,421,,,41.32
2004,4.4,414,,,98
2018,4.4,412,,,55.71
2016,4.4,406,,,35.2
2015,4.4,389,,,73.6
2018,4.4,389,,,41
2016,4.4,376,,,31.5
